wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
28.05 2.016714158767197e-08 1.3153788141160769e-08
28.15 1.8252341074993762e-08 1.434020090299231e-08
28.25 2.7225839701281444e-08 1.9628538152032704e-08
28.35 2.5762515460725805e-07 4.1336486639486486e-07
28.45 2.8567802651712853e-07 4.5689452044008036e-07
28.55 8.62595018424113e-08 1.1765286304279142e-07
28.65 1.746223735121003e-08 1.8331160094947806e-08
28.75 1.8156472914788713e-08 2.1799696883291138e-08
28.85 2.3106885578743542e-08 3.076601943837348e-08
28.95 3.033312183356883e-08 2.6085612441060844e-08
29.05 3.21703726336846e-08 2.466721139923571e-08
29.15 5.524479857822799e-08 3.4996063877517936e-08
29.25 4.8511228963190284e-08 3.031517719951955e-08
29.35 3.8477696823607634e-08 1.7397257484924595e-08
29.45 2.556109662791952e-08 1.0137356468640891e-08
29.55 4.865675769286548e-08 2.1609615585015146e-08
29.65 4.7719712571933687e-08 2.1352553474612422e-08
29.75 3.274132360385949e-08 1.1705176054736385e-08
29.85 9.162347455616975e-09 1.0013766981703787e-08
29.95 1.1241076755500349e-08 1.1909383308612488e-08
30.05 1.1445007418202088e-08 1.1280911518043021e-08
30.15 1.805354693259912e-08 1.0688538668901456e-08
30.25 2.9985560393993013e-06 1.0204934554841175e-06
30.35 3.6400259646846496e-06 1.239013738113768e-06
30.45 3.665590352585413e-06 1.2475245339191397e-06
30.55 6.693805025563013e-07 2.2776990296242027e-07
30.65 3.9042937881681774e-08 1.3520912277297218e-08
30.75 2.9687804313302093e-08 1.4158979842275844e-08
30.85 2.5486088090450895e-08 1.6150703294910242e-08
30.95 2.032229281697711e-08 1.290330664151736e-08
31.05 2.345644688198525e-08 1.0881087337083198e-08
31.15 4.190913597275479e-08 2.9094893383499625e-08
31.25 6.783222893184458e-08 3.731345657892127e-08
31.35 9.927387762862417e-08 3.3771621556496075e-08
31.45 1.3651114557500847e-07 4.6434782470891935e-08
31.55 1.535664138620401e-07 5.223453311911009e-08
31.65 1.1123577083707708e-07 3.784397306797253e-08
31.75 6.642352941391145e-08 2.2612056719788785e-08
31.85 7.326015959796574e-08 2.4934342597394087e-08
31.95 9.05447215499834e-08 3.079793024342504e-08
32.05 9.367555659918718e-08 3.67214643700347e-08
32.15 4.9751552239107876e-08 3.009924009237754e-08
32.25 1.7698058663013934e-08 1.3979206110503293e-08
32.35 1.38799687419544e-08 1.0112658234824293e-08
32.45 1.3822907995699322e-08 1.1482430274453635e-08
32.55 1.5665192850858204e-08 1.3652220517723812e-08
32.65 1.825440832068484e-08 1.8567968875984058e-08
32.75 2.4472067242837947e-08 2.498765344946714e-08
32.85 2.0325812189050345e-08 2.0076744060043902e-08
32.95 1.7084172433069054e-08 1.3940894726572388e-08
33.05 1.1801397003366016e-08 1.1031802468297291e-08
33.15 2.201593705206857e-08 1.4060727390682967e-08
33.25 3.1247036343310745e-08 2.5527962712623317e-08
33.35 6.936285075573041e-08 8.611157100041496e-08
33.45 1.9844910470363198e-07 3.0707040248850755e-07
33.55 2.418583337350729e-07 3.69465642371921e-07
33.65 1.272250352485917e-07 1.8841917716057044e-07
33.75 2.8182442260203422e-08 2.2754927145320947e-08
33.85 3.640902881346339e-08 2.4138532056696575e-08
33.95 3.546020348741346e-08 2.0185455358648442e-08
34.05 4.820388147343741e-08 2.134905372065045e-08
34.15 7.949708977655401e-08 4.310750407490137e-08
34.25 7.659891170116017e-08 4.1713052039080414e-08
34.35 5.6848249790571594e-08 2.3258607879170056e-08
