wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
25.65 1.984545667307651e-07 9.0757229614099e-08
25.75 2.0739423639629995e-07 9.387792641736875e-08
25.85 1.0821048390073255e-07 4.789589801801563e-08
25.95 4.7672650811034974e-08 2.2965445449458357e-08
26.05 3.2482459178129596e-08 2.0195846939656968e-08
26.15 2.3621576237392e-08 1.751388714563072e-08
26.25 2.3912046633646125e-08 2.2915927063906566e-08
26.35 3.4400781605383485e-08 3.434268007996859e-08
26.45 4.605158299992899e-08 5.28971846027935e-08
26.55 4.217653748614683e-08 4.583585439153311e-08
26.65 1.0707322909334296e-08 6.882691584280864e-09
26.75 8.032428707475808e-09 4.86844821237855e-09
26.85 5.426484487245424e-09 4.158861824731e-09
26.95 1.5365824767719826e-08 1.852901172464425e-08
27.05 2.6797839490312507e-08 2.9365911926866677e-08
27.15 3.420460178016417e-08 2.972145153977698e-08
27.25 2.4899109649603204e-08 1.4484536941112036e-08
27.35 4.577849144973141e-08 5.470336783855339e-08
27.45 5.000476779343564e-08 6.02877697001279e-08
27.55 4.0631524648894024e-08 2.3040149638325082e-08
27.65 4.701281304253685e-08 1.7892700118673105e-08
27.75 4.7786602949432006e-08 1.9897398132372927e-08
27.85 3.351320526027991e-08 1.1866584156431204e-08
27.95 1.9847761617629535e-08 7.607448998418688e-09
28.05 1.2935509178076342e-08 8.463557181764478e-09
28.15 1.1822863756191337e-08 9.30960676971411e-09
28.25 1.7808410633008574e-08 1.2874331371107628e-08
28.35 1.7014261200219086e-07 2.7315428457930363e-07
28.45 1.9045385245256093e-07 3.047817021395862e-07
28.55 5.8033800067841705e-08 7.922217917116333e-08
28.65 1.1851528242678337e-08 1.2459828633575713e-08
28.75 1.242545735020795e-08 1.4936385265428272e-08
28.85 1.593684462390489e-08 2.124060884849168e-08
28.95 2.1071731650752936e-08 1.8166340643134956e-08
29.05 2.2494342522867234e-08 1.7304415870606053e-08
29.15 3.8853092858563905e-08 2.4735554679011105e-08
29.25 3.428852009042883e-08 2.1542488777041204e-08
29.35 2.7309694709971273e-08 1.24802770093509e-08
29.45 1.8200899269677764e-08 7.323752126414441e-09
29.55 3.472506419083029e-08 1.56110559699355e-08
29.65 3.4099130985052143e-08 1.5451452878426512e-08
29.75 2.3400539970484036e-08 8.540149114907742e-09
29.85 6.5424436393012955e-09 7.167372065621979e-09
29.95 8.010254925389009e-09 8.509095777995192e-09
30.05 8.129142137978891e-09 8.038642659707732e-09
30.15 1.2765887549408964e-08 7.62981038542374e-09
30.25 2.1082195771776645e-06 7.39101528725467e-07
30.35 2.5413560341521846e-06 8.926139106449674e-07
30.45 2.5380038042024476e-06 8.929359173485178e-07
30.55 4.5901558431519564e-07 1.6178048908952128e-07
30.65 2.6479592083190218e-08 9.506395616696457e-09
30.75 1.988658629395966e-08 9.680815876047518e-09
30.85 1.68379429686649e-08 1.0803814405276882e-08
30.95 1.3223451211622487e-08 8.5072440799573e-09
31.05 1.501053750246397e-08 7.14585593178763e-09
31.15 2.633747783618289e-08 1.8514036159897683e-08
31.25 4.180203185262222e-08 2.3482348802502456e-08
31.35 5.990350583633248e-08 2.156113473510537e-08
31.45 8.053750947000189e-08 2.9087751815768368e-08
31.55 8.84491977589081e-08 3.2064676021206865e-08
31.65 6.245447261919025e-08 2.2736284659783364e-08
31.75 3.6300848659213383e-08 1.3278955097776977e-08
31.85 3.8913013476541795e-08 1.4297199806296823e-08
31.95 4.6674821438815654e-08 1.7223723039153523e-08
32.05 4.67955642601417e-08 1.9608019339840155e-08
32.15 2.4050199090058152e-08 1.5008876698801264e-08
32.25 8.267178856260605e-09 6.660084730073701e-09
32.35 6.256629001183085e-09 4.6724895041005255e-09
32.45 6.0046869089956505e-09 5.091085109588387e-09
32.55 6.549486211089554e-09 5.822836434515091e-09
32.65 7.336501673288719e-09 7.5810979703182e-09
32.75 9.443748989099953e-09 9.805737238900487e-09
32.85 7.52345167562875e-09 7.575114100511674e-09
32.95 6.059675227976283e-09 5.094407895316363e-09
33.05 4.007947655032914e-09 3.83948567228893e-09
33.15 7.154380698577097e-09 4.825456970187083e-09
33.25 9.711352843331127e-09 8.227853936270683e-09
33.35 2.06116198924407e-08 2.603218125053891e-08
33.45 5.638039959073313e-08 8.828311016445955e-08
33.55 6.570951053101618e-08 1.0169075471122514e-07
33.65 3.307130672845213e-08 4.970239917776805e-08
33.75 7.015129442514861e-09 5.957578605933342e-09
33.85 8.688969705251007e-09 6.222178617959015e-09
33.95 8.12636658099708e-09 5.146928776405752e-09
34.05 1.0629377187161348e-08 5.593533108233922e-09
34.15 1.6908718560805667e-08 1.0397996958228177e-08
34.25 1.5760541338509518e-08 9.761442283396193e-09
34.35 1.1352740110259155e-08 5.753426972005099e-09
34.45 1.5933903121296684e-08 7.253556124515294e-09
34.55 1.812058655214486e-08 8.581528835877047e-09
34.65 2.569398545578675e-08 1.2986371595752635e-08
34.75 2.1488271380458114e-08 1.6114393457930983e-08
34.85 2.7378075973083013e-08 1.7920084226405784e-08
34.95 2.0592167581221346e-08 1.3145295824539413e-08
35.05 1.635048917008116e-08 8.489878416359407e-09
35.15 1.6480273822644172e-08 9.427144993937144e-09
35.25 1.5846166115527216e-08 1.1187889741201584e-08
35.35 1.825257151951405e-08 1.3062536344025803e-08
35.45 1.180487489060574e-08 1.0734093219462768e-08
35.55 1.3557460377966588e-08 1.0491828270033613e-08
35.65 1.1337116923195493e-08 9.25787394179007e-09
35.75 1.0559626882105155e-08 6.577105336337328e-09
35.85 1.0786125123492179e-08 9.153749327732846e-09
35.95 2.2489807592289267e-08 2.6706662575858592e-08
36.05 4.576047155634397e-08 6.792058019650557e-08
36.15 3.6967982997556034e-08 5.85885919264409e-08
36.25 8.239430392314988e-09 9.804775488208503e-09
36.35 1.7448545786859704e-08 1.6733778034256012e-08
36.45 2.7617566931933915e-08 2.4524691548723008e-08
36.55 2.604077388941491e-08 2.087074437093173e-08
36.65 4.280897129788782e-08 1.5523455798689027e-08
36.75 1.040379320540276e-07 3.734626163869497e-08
36.85 1.1284121068863348e-07 4.020884325247623e-08
36.95 8.079163722833633e-08 2.8579688477962185e-08
37.05 7.92496617380905e-09 2.787675850827471e-09
37.15 3.401602321940528e-09 1.1999866589028592e-09
37.25 5.286618508688517e-09 1.8438130317546252e-09
37.35 9.076452698634487e-09 3.14048535843654e-09
37.45 9.46808121282543e-09 3.261502881180392e-09
37.55 1.2417480867056838e-08 4.2607817687792995e-09
37.65 9.440201551240497e-09 3.2281985337754764e-09
37.75 9.85684389447115e-09 3.359760926268546e-09
37.85 6.514766676623044e-09 2.214886738551533e-09
37.95 6.071174842544664e-09 2.059145199123076e-09
38.05 6.431296538598482e-09 2.1756040922220015e-09
38.15 4.777373067196165e-09 1.6127520875553412e-09
38.25 5.706827162412673e-09 1.924802731788589e-09
38.35 6.997393096962255e-09 2.353336159915845e-09
38.45 7.952037430154222e-09 2.7665099802026912e-09
38.55 7.4124928678637755e-09 2.6001626073134978e-09
38.65 6.600803254591443e-09 2.210330884352559e-09
38.75 6.324030524433763e-09 2.121537815134171e-09
38.85 6.491190282921393e-09 2.3443553354513093e-09
38.95 8.620363884099746e-09 5.7937514349377365e-09
39.05 7.958761613319795e-09 5.075697687745424e-09
39.15 7.354388017867265e-09 2.4500786203246783e-09
39.25 7.169236535287202e-09 2.386902744707559e-09
39.35 7.432227098315559e-09 2.7646926511266943e-09
39.45 6.82797831115908e-09 2.270259036409823e-09
39.55 6.423896870197315e-09 2.1348651967234063e-09
39.65 6.1925158448202785e-09 2.056611093890444e-09
39.75 5.537925828964223e-09 1.8388462305176826e-09
39.85 8.605878643182235e-09 2.8551881286923144e-09
39.95 1.1782194723552994e-08 3.906745589885888e-09
40.5 1.8929160441979716e-08 3.68113128631572e-09
41.5 1.4644955890858814e-08 7.609878142553555e-09
42.5 1.3727353720230614e-08 2.85443201550811e-09
43.5 2.9654697123665605e-08 4.580352990432029e-09
44.5 1.711745152923931e-08 4.457315045793066e-09
45.5 1.8902963034539613e-08 3.0270480662926907e-09
46.5 5.100162228923358e-08 6.2676484544010325e-09
47.5 2.3066633217384484e-08 4.041065666074919e-09
48.5 3.574989199222214e-08 7.057035479174447e-09
49.5 4.817980490527875e-08 1.741995310667762e-08
50.5 5.393851821797122e-08 1.474043975402566e-08
51.5 2.1883326537860508e-08 7.000191390988799e-09
52.5 2.515734968615705e-08 9.64745616104768e-09
53.5 2.700610145307945e-08 4.2171983162747415e-09
54.5 1.7627636246488044e-08 3.290619466230454e-09
55.5 1.0389627032139853e-07 1.1925368810809778e-08
56.5 2.5252811560975486e-08 3.833263410254025e-09
57.5 2.214799241874346e-08 4.387058423750073e-09
58.5 1.9075995427556003e-07 3.208842758278708e-08
59.5 3.390300197678341e-08 5.234374675768502e-09
60.5 7.972381292997952e-08 1.914004657631131e-08
61.5 6.568664375298405e-08 1.664975833468818e-08
62.5 1.8366972933951325e-07 2.4773497415518116e-08
63.5 1.6244250800033493e-07 1.7839186519105096e-08
64.5 2.3576506938819484e-08 3.866424336612905e-09
65.5 2.323238402343332e-08 3.6300903949868586e-09
66.5 2.7240695531894416e-08 4.404560995704707e-09
