wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
27.45 5.4117795444011004e-08 6.606171081119151e-08
27.55 4.3906233736114864e-08 2.6301028368859728e-08
27.65 5.071081102579635e-08 2.1675374086166905e-08
27.75 5.143894455925158e-08 2.3660680007057568e-08
27.85 3.599013470723136e-08 1.4562609031276758e-08
27.95 2.1259151369982592e-08 9.148114063873537e-09
28.05 1.3815958280754413e-08 9.43168169845963e-09
28.15 1.2589099896992656e-08 1.0207440869629746e-08
28.25 1.8901814928690778e-08 1.4135219516826458e-08
28.35 1.7999196351634574e-07 2.9095582280750964e-07
28.45 2.0080443214411906e-07 3.2349645235264766e-07
28.55 6.0984476878338e-08 8.398400324596127e-08
28.65 1.2413950685459664e-08 1.3235368282177953e-08
28.75 1.2975396671423363e-08 1.575697093742565e-08
28.85 1.6595570646164825e-08 2.2291312733553982e-08
28.95 2.1888432073869584e-08 1.9196396128672212e-08
29.05 2.3317899931232504e-08 1.8295972413280095e-08
29.15 4.021194480145946e-08 2.627873523538461e-08
29.25 3.545160182662704e-08 2.2819864483097444e-08
29.35 2.822531070797406e-08 1.3426822970839149e-08
29.45 1.8817341876287568e-08 7.9212359392127e-09
29.55 3.594103837997915e-08 1.6674843587308854e-08
29.65 3.536230531525983e-08 1.644859207222161e-08
29.75 2.4337023017820586e-08 9.175810588087385e-09
29.85 6.830406184633799e-09 7.50445872742426e-09
29.95 8.403534265846082e-09 8.94659035149822e-09
30.05 8.578986406337247e-09 8.496949420818813e-09
30.15 1.3567662363867375e-08 8.123706712864819e-09
30.25 2.2591148290646777e-06 7.905782823163765e-07
30.35 2.749028703632308e-06 9.57280642322707e-07
30.45 2.7748239731508482e-06 9.615651588990237e-07
30.55 5.078695375387935e-07 1.7519783554848207e-07
30.65 2.9688034246356557e-08 1.0378452391786696e-08
30.75 2.2623023079812468e-08 1.0823589307371944e-08
30.85 1.946182347567473e-08 1.2343622193106664e-08
30.95 1.5550176392695595e-08 9.873636937936137e-09
31.05 1.798375659832546e-08 8.331683062647316e-09
31.15 3.219254006144376e-08 2.2324916400112708e-08
31.25 5.220139737386352e-08 2.8645207367984232e-08
31.35 7.653317800423712e-08 2.5829302060720347e-08
31.45 1.0541891323448775e-07 3.552950470879456e-08
31.55 1.1878105117552166e-07 3.999155945101391e-08
31.65 8.61704211810088e-08 2.8996399271516195e-08
31.75 5.15297650439607e-08 1.7341531825459372e-08
31.85 5.690933533043526e-08 1.914195626047322e-08
31.95 7.042272382231812e-08 2.3669313010380093e-08
32.05 7.293937940973186e-08 2.8338877458426414e-08
32.15 3.87773686644948e-08 2.3374351373904805e-08
32.25 1.3806416697646938e-08 1.0882709892787659e-08
32.35 1.08361180085525e-08 7.876586694916691e-09
32.45 1.0798388532656035e-08 8.95486333381654e-09
32.55 1.2243705963258335e-08 1.0655161003532637e-08
32.65 1.4272678577159285e-08 1.4503913503125488e-08
32.75 1.9138648078225938e-08 1.9525123550219643e-08
32.85 1.5897687996641036e-08 1.569020780514767e-08
32.95 1.3361921010982115e-08 1.0892410321681545e-08
33.05 9.228721377042795e-09 8.621342005020425e-09
33.15 1.721172194731684e-08 1.0980413171110612e-08
33.25 2.4418713753938345e-08 1.9939514237162455e-08
33.35 5.4177389454097597e-08 6.724988982959058e-08
33.45 1.549068949764485e-07 2.3968480661684005e-07
33.55 1.886555616582185e-07 2.881927600076874e-07
33.65 9.915813626187683e-08 1.4685934260118958e-07
33.75 2.1945534301557507e-08 1.7724594568449536e-08
33.85 2.8324182219311327e-08 1.8790739280245442e-08
33.95 2.7557765191046457e-08 1.570486175463308e-08
