wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
27.15 1.426828542939688e-07 1.2390043697186714e-07
27.25 1.0319750412999416e-07 5.994695343234281e-08
27.35 1.8849788661558136e-07 2.2516883238314603e-07
27.45 2.0453975007433188e-07 2.4651197771283225e-07
27.55 1.6508777618745232e-07 9.344475191406709e-08
27.65 1.8972415633173394e-07 7.18836499322409e-08
27.75 1.915329528491562e-07 7.941116944710557e-08
27.85 1.3340440301379708e-07 4.691886975730861e-08
27.95 7.846574385143118e-08 2.9877799960029727e-08
28.05 5.078991302401929e-08 3.3146192868377184e-08
28.15 4.610713901416417e-08 3.623315447322659e-08
28.25 6.89866256860005e-08 4.9739341715052984e-08
28.35 6.547981525162144e-07 1.0506031421157343e-06
28.45 7.283121948856745e-07 1.1647204442996829e-06
28.55 2.2056688108701507e-07 3.0078638296350505e-07
28.65 4.477984767322255e-08 4.698840758137854e-08
28.75 4.668816183564186e-08 5.6033485543966017e-08
28.85 5.9571659146369907e-08 7.928539454617466e-08
28.95 7.838931532694404e-08 6.733532568834744e-08
29.05 8.331913055150689e-08 6.378084988481736e-08
29.15 1.4335936901948734e-07 9.056691256036951e-08
29.25 1.2609876357660673e-07 7.855645739755135e-08
29.35 1.001591909898928e-07 4.4992918961075284e-08
29.45 6.661102002514754e-08 2.617732921250768e-08
29.55 1.268993745944483e-07 5.592227818549372e-08
29.65 1.2451528754846025e-07 5.5263931019789825e-08
29.75 8.544432095862161e-08 3.0137186279037535e-08
29.85 2.3905888736016322e-08 2.6088354612144824e-08
29.95 2.9313146829415005e-08 3.1004493428025726e-08
30.05 2.981735163272446e-08 2.9331620998596383e-08
30.15 4.697356348056678e-08 2.7652751951038518e-08
30.25 7.788945780484188e-06 2.603758137184992e-06
30.35 9.435885939689346e-06 3.1535111190374704e-06
30.45 9.479142521531859e-06 3.1662714772017512e-06
30.55 1.7261554191071423e-06 5.762784873872507e-07
30.65 1.003611944762488e-07 3.411408599847906e-08
30.75 7.60419196172856e-08 3.5910884958774214e-08
30.85 6.502281281342235e-08 4.0974805337695e-08
30.95 5.162497633197141e-08 3.25943897738656e-08
31.05 5.930787685632605e-08 2.722036513320593e-08
31.15 1.054294451318514e-07 7.284644926651502e-08
31.25 1.697205253828711e-07 9.265407665801846e-08
31.35 2.4695765417229216e-07 8.233814762868752e-08
31.45 3.3751367443470985e-07 1.1252134314477443e-07
31.55 3.772283712156756e-07 1.2576287346861195e-07
31.65 2.7138712380167554e-07 9.050244349077373e-08
31.75 1.6090075869056192e-07 5.3696085097521455e-08
31.85 1.761380214651638e-07 5.877464359696877e-08
31.95 2.1600231170580484e-07 7.203819268083734e-08
32.05 2.2166428301110213e-07 8.562921599197318e-08
32.15 1.1673949268827534e-07 7.01995422094154e-08
32.25 4.1167031593090684e-08 3.240239921281197e-08
32.35 3.199629960065187e-08 2.321623101154112e-08
32.45 3.157012215812893e-08 2.614264676570676e-08
32.55 3.543725819901053e-08 3.0796486527686004e-08
32.65 4.089077821904318e-08 4.150777560160079e-08
32.75 5.426890816814956e-08 5.5300249432154716e-08
32.85 4.461127200387134e-08 4.39701520978249e-08
32.95 3.710259786480476e-08 3.0181740764683896e-08
33.05 2.5354722393370232e-08 2.3645376576069266e-08
33.15 4.678246550177373e-08 2.9727985039214348e-08
33.25 6.565756151391953e-08 5.3476866941980033e-08
33.35 1.440941805459527e-07 1.786533320191815e-07
33.45 4.0750222060241033e-07 6.300196481600829e-07
33.55 4.908232557434925e-07 7.491447712146335e-07
33.65 2.551208782213337e-07 3.774887361214271e-07
33.75 5.583309777251425e-08 4.4943119031799975e-08
33.85 7.125190069143842e-08 4.702573840014404e-08
33.95 6.853962054849897e-08 3.8777430381665994e-08
34.05 9.201078704888202e-08 4.0339590385295234e-08
34.15 1.4983445567374718e-07 8.07028752131087e-08
34.25 1.425406066944769e-07 7.710639241480137e-08
34.35 1.0443469573242579e-07 4.2223247807861574e-08
34.45 1.4851641687339587e-07 4.97327477844232e-08
34.55 1.7041187699023922e-07 6.101983593719629e-08
