wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
36.85 1.5075261665243998e-07 4.9376817020985854e-08
36.95 1.0535345448950282e-07 3.448937394582819e-08
37.05 1.0092251389869131e-08 3.305936061123845e-09
37.15 4.232849272650852e-09 1.3999187285243036e-09
37.25 6.432167607171569e-09 2.111726283308943e-09
37.35 1.0804709798648915e-08 3.533331875393813e-09
37.45 1.103507829018889e-08 3.6069917866825505e-09
37.55 1.4179801024799614e-08 4.6332891584370565e-09
37.65 1.0569449467812898e-08 3.4529437542028884e-09
37.75 1.0828215054082508e-08 3.5361328962113812e-09
37.85 7.027149840483412e-09 2.294884876460933e-09
37.95 6.434671142778744e-09 2.10125056881175e-09
38.05 6.702461194841381e-09 2.187471870265758e-09
38.15 4.899053098853893e-09 1.5985470627946625e-09
38.25 5.762423738474508e-09 1.8818536027062264e-09
38.35 6.96192502260151e-09 2.2703079208309865e-09
38.45 7.800877167216887e-09 2.6405308656177085e-09
38.55 7.174387068002055e-09 2.4526087748255843e-09
38.65 6.3073972548748755e-09 2.0554341622555037e-09
38.75 5.9696870400891266e-09 1.95118414773077e-09
38.85 6.056914506593188e-09 2.1407953928475025e-09
38.95 7.955754649777585e-09 5.315415981600867e-09
39.05 7.269144089919818e-09 4.6063351824556425e-09
39.15 6.651412464000711e-09 2.165146706564285e-09
39.25 6.424091371634685e-09 2.091074862819145e-09
39.35 6.601852280610415e-09 2.413058068779939e-09
39.45 6.015589677466804e-09 1.9574548814190944e-09
39.55 5.616297257125821e-09 1.8274251171907978e-09
39.65 5.375331887045058e-09 1.748528609471131e-09
39.75 4.775165819555601e-09 1.5535489601988267e-09
39.85 7.374820658947143e-09 2.398048158934427e-09
39.95 1.0039329555691345e-08 3.2634696692058107e-09
40.5 1.575766901894526e-08 2.8965375867693446e-09
41.5 1.2049072453937583e-08 6.216295260212654e-09
42.5 1.1488840234579157e-08 2.2815034980140195e-09
43.5 2.5570364035171412e-08 3.6209083014546454e-09
44.5 1.517174529452876e-08 3.838179104689021e-09
45.5 1.7071557122569304e-08 2.522910654711633e-09
46.5 4.6648069628241366e-08 4.958352302608565e-09
47.5 2.133710900268153e-08 3.498626068656661e-09
48.5 3.339839979508914e-08 6.262843174339961e-09
49.5 4.539939462321359e-08 1.617394704158362e-08
50.5 5.152751894665571e-08 1.3718191486709691e-08
