wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
27.45 8.765262563603744e-08 1.0596054472104219e-07
27.55 7.088319234390869e-08 4.068301920986449e-08
27.65 8.156784239107162e-08 3.1877428475459875e-08
27.75 8.240670674776685e-08 3.507995610536417e-08
27.85 5.741116104690173e-08 2.0947185985849132e-08
27.95 3.3762032442804153e-08 1.3271034067382183e-08
28.05 2.1842122113328926e-08 1.441392244648937e-08
28.15 1.9812180272949912e-08 1.5690095290911246e-08
28.25 2.961314087767368e-08 2.154775597777417e-08
28.35 2.8075093677851283e-07 4.512949667567796e-07
28.45 3.1188400092269445e-07 4.996960989677137e-07
28.55 9.433491386792399e-08 1.2897099776455837e-07
28.65 1.9128988075831665e-08 2.015746325142378e-08
28.75 1.9922222814277067e-08 2.3986270589331373e-08
28.85 2.5395607785530773e-08 3.388585797860805e-08
28.95 3.339256022599941e-08 2.885552345267942e-08
29.05 3.547441499779066e-08 2.7355628643354224e-08
29.15 6.102299770769958e-08 3.89566458588077e-08
29.25 5.3679439226296265e-08 3.379269949356743e-08
29.35 4.265419648083034e-08 1.9535197238280737e-08
29.45 2.8388627393944053e-08 1.1431417445602948e-08
29.55 5.4143486201342603e-08 2.431340382996189e-08
29.65 5.3206487642094034e-08 2.4041769176002865e-08
29.75 3.658062689617378e-08 1.3256714050034675e-08
29.85 1.0258224314772667e-08 1.1226027446146419e-08
29.95 1.2612568555835889e-08 1.3378468701960487e-08
30.05 1.2869398721187355e-08 1.2699981743444242e-08
30.15 2.0345285199840327e-08 1.2078821373743068e-08
30.25 3.3867316742144213e-06 1.1605721156604842e-06
30.35 4.120446270323995e-06 1.4103093041175004e-06
30.45 4.158664696964674e-06 1.4213618408361872e-06
30.55 7.611100316862143e-07 2.5977919237637866e-07
30.65 4.4490842240078996e-08 1.5437144114182097e-08
30.75 3.390349479708979e-08 1.6177780435728727e-08
30.85 2.91667208297235e-08 1.848369597831605e-08
30.95 2.3305070870446485e-08 1.479421233463281e-08
31.05 2.6952818705112254e-08 1.2493551304976823e-08
31.15 4.824828113786497e-08 3.347948778445675e-08
31.25 7.823545888946663e-08 4.2994020423573265e-08
31.35 1.1469826165522581e-07 3.890129734846203e-08
31.45 1.5797966375512546e-07 5.3555464556684076e-08
31.55 1.779897117832938e-07 6.031884931047717e-08
31.65 1.2911031254606111e-07 4.3753260900048155e-08
31.75 7.719811622694401e-08 2.6172943860508795e-08
31.85 8.524523587047002e-08 2.8892294988550328e-08
31.95 1.0547055201602913e-07 3.572304027310115e-08
32.05 1.092214772976189e-07 4.2679391926186744e-08
32.15 5.80563741335283e-08 3.5077280615908626e-08
32.25 2.0667054505223207e-08 1.6311991143332405e-08
32.35 1.621810141190938e-08 1.1806005123000839e-08
32.45 1.615918627715727e-08 1.3414611763177868e-08
32.55 1.831958978161561e-08 1.595678234838878e-08
32.65 2.1353094464893536e-08 2.1711666553277053e-08
32.75 2.8630696814173408e-08 2.9223679671335872e-08
32.85 2.378125528379989e-08 2.348176019528568e-08
32.95 1.998786202449024e-08 1.63028481253472e-08
33.05 1.380555879831743e-08 1.2901204765855715e-08
33.15 2.5749655776710596e-08 1.6435467492771586e-08
33.25 3.653636409043059e-08 2.983967121672229e-08
33.35 8.107694074422336e-08 1.0064229919852568e-07
33.45 2.3187206065236276e-07 3.5876459613820916e-07
33.55 2.8246680009959413e-07 4.314767373757838e-07
33.65 1.48514051310497e-07 2.1993835960261357e-07
33.75 3.2881154237546054e-08 2.654585624795617e-08
33.85 4.245600853399886e-08 2.814455794444407e-08
33.95 4.132609057579751e-08 2.352271766109061e-08
34.05 5.614521442561137e-08 2.4865407172130755e-08
34.15 9.253953586157239e-08 5.018160877422277e-08
34.25 8.911374291283658e-08 4.8532246578092224e-08
34.35 6.609806182079901e-08 2.704891525721892e-08
34.45 9.517040099913569e-08 3.243578521421387e-08
34.55 1.1057441176706747e-07 4.0212561851644347e-08
34.65 1.5947139461690438e-07 6.444822583127602e-08
34.75 1.3501157176269554e-07 9.266030938327965e-08
34.85 1.7328342224477034e-07 1.008552593911006e-07
34.95 1.3063574525258703e-07 7.39418668847218e-08
35.05 1.0344595187529757e-07 4.459019704348904e-08
35.15 1.0347204782790059e-07 5.14669089282454e-08
35.25 9.826222735626272e-08 6.392490030782077e-08
35.35 1.1128257875426366e-07 7.397136550564089e-08
35.45 7.046610132727566e-08 6.149936751376023e-08
35.55 7.893108449185096e-08 5.795215087411886e-08
35.65 6.415545801868847e-08 5.020098367227116e-08
35.75 5.790749659602635e-08 3.369371191238909e-08
35.85 5.717242048649208e-08 4.6998735689008986e-08
35.95 1.1497518834307389e-07 1.3459342979479972e-07
36.05 2.2523904348854657e-07 3.3161544359256454e-07
36.15 1.7495081686030477e-07 2.7553217435619157e-07
36.25 3.745233475499698e-08 4.412961202068527e-08
36.35 7.612463950054176e-08 7.2034034236609e-08
36.45 1.1559867217598633e-07 1.0125776235177002e-07
36.55 1.0455623083311204e-07 8.257971803333687e-08
36.65 1.648857257828588e-07 5.6017392231506265e-08
36.75 3.845029393402746e-07 1.3038896586133253e-07
36.85 4.0032695715862636e-07 1.3581149210643007e-07
36.95 2.75291838721962e-07 9.336768113579301e-08
37.05 2.5953541920259996e-08 8.809442592703625e-09
37.15 1.0714962864883435e-08 3.6705114227589196e-09
37.25 1.6031136343137147e-08 5.455591091503073e-09
37.35 2.6520534088770224e-08 8.994799914257445e-09
37.45 2.6682826120798345e-08 9.048629362712498e-09
37.55 3.378701113040467e-08 1.1457686754564928e-08
37.65 2.482567420169698e-08 8.420042803657201e-09
37.75 2.508008983608735e-08 8.506229586944147e-09
37.85 1.6055998763618944e-08 5.447636605914452e-09
37.95 1.4509069974751647e-08 4.924256965257498e-09
38.05 1.4920314376194677e-08 5.0631000361518766e-09
38.15 1.0771266206533552e-08 3.6558115463230297e-09
38.25 1.2518603887113883e-08 4.2538424139511395e-09
38.35 1.495081998959543e-08 5.075567600299596e-09
38.45 1.656746826644671e-08 5.823987401011779e-09
38.55 1.507541246073049e-08 5.35030163531314e-09
38.65 1.3119065932074047e-08 4.456196159618045e-09
38.75 1.2296191550892232e-08 4.189807509047748e-09
38.85 1.2360492259381939e-08 4.52955758849351e-09
38.95 1.6092749651735992e-08 1.086517568019605e-08
39.05 1.4581290253885925e-08 9.349036926312552e-09
39.15 1.3236978786413356e-08 4.500288248305169e-09
39.25 1.2689560589711708e-08 4.315541525723484e-09
39.35 1.294960453822509e-08 4.903453095863348e-09
39.45 1.1722458860510232e-08 3.98799620168993e-09
39.55 1.0877570370645511e-08 3.7014468093819107e-09
39.65 1.0351827584455366e-08 3.5225708247405164e-09
39.75 9.147772270161478e-09 3.11403629220756e-09
39.85 1.4059662463213612e-08 4.784786237129789e-09
39.95 1.905468243525575e-08 6.484022005177595e-09
40.5 2.9384909210262786e-08 6.16217315714108e-09
41.5 2.2249887103551245e-08 1.1682593807669318e-08
42.5 2.1245099737853568e-08 4.631179447644251e-09
43.5 4.694670607414484e-08 7.664252391964286e-09
44.5 2.717901518934792e-08 7.1780342872620844e-09
45.5 2.955565251595706e-08 4.9080861052123605e-09
46.5 7.897438328757249e-08 1.0430695868521686e-08
47.5 3.637160242854809e-08 6.61246457406746e-09
48.5 5.811093184797785e-08 1.1767826837148649e-08
49.5 7.874644913314094e-08 2.8729067946569172e-08
50.5 8.922294154148686e-08 2.4740468952737175e-08
51.5 3.600975881858682e-08 1.1671458592787873e-08
52.5 4.0360149988369265e-08 1.5570664964965973e-08
53.5 4.300207301532961e-08 6.934479449646747e-09
54.5 2.8445399510062332e-08 5.472186054045168e-09
55.5 1.721746015133609e-07 2.1731920407576915e-08
56.5 4.326806942564769e-08 6.978193687861085e-09
57.5 3.936933021237014e-08 8.066678792345273e-09
58.5 3.523282028703957e-07 6.163030827582607e-08
59.5 6.503232041198143e-08 1.0431677049484293e-08
60.5 1.5831100325341326e-07 3.8562955554638194e-08
61.5 1.3419623215742813e-07 3.4479878903653205e-08
62.5 3.8281879053543974e-07 5.446640916515991e-08
63.5 3.4232979191558624e-07 4.119637530406625e-08
64.5 4.9850120788688886e-08 8.580807064750546e-09
65.5 4.904572339698253e-08 8.099809628767573e-09
66.5 5.7350557589651984e-08 9.743392875461118e-09
67.5 4.901036499538014e-08 9.184457890348217e-09
68.5 1.148465530817952e-07 1.4840200744004707e-08
69.5 8.828850141223748e-08 1.6168379114991672e-08
70.5 2.1992573301478972e-07 2.509665591435598e-08
71.5 9.131498919284266e-08 1.3345290040344121e-08
72.5 9.180811646062016e-08 2.0598808449321253e-08
73.5 7.000193845508479e-08 1.1322492668361927e-08
74.5 1.1047942064781006e-07 1.4956862686954452e-08
75.5 1.643061612537702e-07 2.0586360526337984e-08
76.5 4.6137090376419487e-07 4.561705896494121e-08
77.5 4.215729310643694e-07 4.945050380111105e-08
78.5 6.568757375696507e-07 6.892987684642667e-08
79.5 4.706510805774187e-07 5.661627105403089e-08
80.5 3.7659806753016676e-07 5.473162589845242e-08
81.5 4.1051575823192166e-07 6.023697947725385e-08
82.5 5.014034053942241e-07 7.589476692205748e-08
83.5 1.2514154078729772e-06 1.4580168790701604e-07
84.5 7.222134019371315e-07 1.0864094541675992e-07
85.5 8.763451098062393e-07 1.3346179090379833e-07
86.5 1.0180974039860535e-06 1.5161490269146803e-07
87.5 1.2356884456430843e-06 1.8452804286679752e-07
88.5 1.4514482808788198e-06 2.206968492761855e-07
89.5 1.6738747059482009e-06 2.5388938941796043e-07
90.5 2.0107156267504507e-06 2.999707173682809e-07
91.5 1.6874194081698678e-06 2.547432822465304e-07
92.5 5.587423723742358e-07 8.044444887527426e-08
93.5 5.625530665288128e-07 7.941581670425706e-08
94.5 4.0235720580577205e-07 5.737151330993232e-08
95.5 3.17864097396112e-07 4.663984095995334e-08
96.5 2.2827246673795918e-07 3.32954491485566e-08
97.5 4.32337258738935e-06 1.0645402247800008e-06
98.5 4.831830634022888e-07 6.037111767170526e-08
99.5 6.956669558360977e-07 9.734046492862746e-08
100.5 2.968925936322019e-07 6.034550155635254e-08
101.5 3.7475206567087743e-07 5.17911644520466e-08
102.5 2.9786835137177268e-06 4.336611701792057e-07
103.5 2.492164416026718e-06 3.159431110654782e-07
104.5 3.948452343878487e-07 7.427848057760932e-08
105.5 3.5553440137009526e-07 5.619139693426097e-08
106.5 3.658716829716729e-07 5.9410847760071306e-08
107.5 4.0151504816937736e-07 6.370042203921539e-08
108.5 5.512746027323881e-07 1.0413628282458207e-07
109.5 3.876404836578114e-07 6.35296904142634e-08
110.5 4.2282347008429287e-07 6.6076508432016e-08
111.5 3.742278814767242e-07 5.769612388848639e-08
112.5 3.69129167209017e-07 5.4754713441124595e-08
113.5 2.2588587855950337e-07 3.710874249924987e-08
114.5 2.5927686493797425e-07 3.679053031843047e-08
115.5 2.881380471534145e-07 3.741550566884254e-08
116.5 3.2166348985895063e-07 3.7354217328663214e-08
117.5 1.023192820569255e-06 1.4801104121083445e-07
118.5 3.5931986038702713e-07 4.181775181354837e-08
119.5 5.793018080144265e-07 9.217238154821918e-08
120.5 1.4573547051950312e-06 2.8407745449880877e-07
121.5 5.5759880157564594e-05 8.878298236195816e-06
122.5 4.936380692350857e-07 6.958642447291982e-08
123.5 2.8418425036266304e-07 4.095936445808415e-08
124.5 1.8562099245652616e-07 2.7284317067796762e-08
125.5 1.5346357541119301e-07 2.010236097297595e-08
126.5 1.8087785167202268e-07 2.9932794387670166e-08
127.5 8.681566835822115e-08 1.1118788509511276e-08
128.5 6.037258389456878e-08 7.612820739734833e-09
129.5 7.334150756105736e-08 1.0015020523634761e-08
130.5 4.3910323187650083e-07 5.657325695645546e-08
131.5 6.28970851974154e-08 8.542606869845953e-09
132.5 4.43702974768465e-08 5.931726985394559e-09
133.5 3.7628449981888233e-07 5.816910695567775e-08
134.5 3.241089835804999e-08 4.492313412103935e-09
135.5 6.780780867640345e-08 7.962521128853528e-09
136.5 3.808979429090984e-08 4.747350776724385e-09
137.5 3.7719348781000204e-08 4.825656452009252e-09
138.5 3.497224404102031e-08 4.277191753866804e-09
139.5 8.464072990071904e-08 1.282697988335987e-08
140.5 6.848265422622881e-08 9.427034622863585e-09
141.5 3.824379052389907e-08 4.679201448859623e-09
142.5 3.891780578645135e-08 4.934682188927781e-09
143.5 4.048678763707509e-08 4.825979936802212e-09
144.5 3.707131722768485e-08 4.511827729287105e-09
145.5 3.573335853394021e-08 4.620298674501423e-09
146.5 4.008378788334475e-08 4.7814476947810896e-09
147.5 4.65980499737668e-08 5.600449234893204e-09
148.5 4.446080641072643e-08 5.316821073738101e-09
149.5 3.790417215363704e-08 4.579394379412219e-09
150.5 4.119604694878991e-08 4.895957644080519e-09
151.5 4.395346712535117e-08 5.2863054405138695e-09
152.5 5.2966196948299285e-08 6.453138053589433e-09
153.5 5.7504513144052774e-08 6.9470061170551825e-09
154.5 9.450523812870492e-08 1.2103335687315325e-08
155.5 7.785828352023558e-08 9.742035745213468e-09
156.5 7.131205547206177e-08 8.700189299381093e-09
157.5 5.8652772949285755e-08 7.252468565211934e-09
158.5 5.493476664025044e-08 6.777547972754514e-09
159.5 6.210612763474059e-08 7.694329260550597e-09
160.5 5.484938608175167e-08 6.986306602321479e-09
161.5 6.288977214087399e-08 8.128416576120021e-09
162.5 6.838597694754051e-08 8.893813699597989e-09
163.5 6.976430095066716e-08 9.171298869088824e-09
