wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
30.35 3.848524783367343e-06 1.3098792698144038e-06
30.45 3.868678342367137e-06 1.3165477455430177e-06
30.55 7.052494534794082e-07 2.3995967193904207e-07
30.65 4.106613360190541e-08 1.4220788826777614e-08
30.75 3.1175240304698626e-08 1.4868009977236752e-08
30.85 2.6720338077738436e-08 1.6932649928954216e-08
30.95 2.1273195220656044e-08 1.3506928413952813e-08
31.05 2.4516307544192716e-08 1.1372560173671992e-08
31.15 4.3736402944619035e-08 3.036327725752133e-08
31.25 7.068343763564158e-08 3.888158685280389e-08
31.35 1.032919188667649e-07 3.513802260012366e-08
31.45 1.418236335695489e-07 4.824139344651399e-08
31.55 1.5930226981148295e-07 5.4185247460998966e-08
31.65 1.1521478945111502e-07 3.919761159819265e-08
31.75 6.869313267988146e-08 2.3384703190990493e-08
31.85 7.564378041772834e-08 2.574570718592897e-08
31.95 9.333956601849494e-08 3.174875133196186e-08
32.05 9.640653968936173e-08 3.7792241176953335e-08
32.15 5.111423775908418e-08 3.0923739143600254e-08
32.25 1.8150589229356782e-08 1.4336673769685367e-08
32.35 1.4208746416962551e-08 1.0352222762310363e-08
32.45 1.4123390062544698e-08 1.1732056714095517e-08
32.55 1.597407059869424e-08 1.39214311338945e-08
32.65 1.8576086208653925e-08 1.8895195492650228e-08
32.75 2.485012001518198e-08 2.5373701053992544e-08
32.85 2.059399733404748e-08 2.034166717645864e-08
32.95 1.7269675459807548e-08 1.4092290320387676e-08
33.05 1.1900988603000738e-08 1.1124911955541372e-08
33.15 2.214663290761226e-08 1.4144227844100308e-08
33.25 3.135174466561312e-08 2.5613535112525013e-08
33.35 6.941028263459023e-08 8.617049055492076e-08
33.45 1.9803965515692104e-07 3.064369026690235e-07
33.55 2.406761987539606e-07 3.6765985517700866e-07
33.65 1.2623440391321113e-07 1.8695208022323582e-07
33.75 2.787932070134013e-08 2.2510185941704186e-08
33.85 3.5906908781191186e-08 2.3805635129051387e-08
33.95 3.4861359818853116e-08 1.9844561331041154e-08
