wavelength(nm)    spectral_current_density(A*m^-2*nm^-1)    error(A*m^-2*nm^-1)
30.15 1.6639323972009044e-08 9.851447482521737e-09
30.25 2.7552638527378867e-06 9.377510083492448e-07
30.35 3.3350359112335263e-06 1.135268377790334e-06
30.45 3.3492577836190503e-06 1.1399347959874157e-06
30.55 6.100224037616086e-07 2.0758453668238594e-07
30.65 3.5492621469728726e-08 1.2292100302554242e-08
30.75 2.692441063802876e-08 1.2841407988194678e-08
30.85 2.3061528540522683e-08 1.4614474459601849e-08
30.95 1.8349024519800888e-08 1.1650587531869135e-08
31.05 2.1134435352458564e-08 9.804204059776027e-09
31.15 3.76835851904181e-08 2.6161652387732972e-08
31.25 6.087175184849687e-08 3.3485168786772614e-08
31.35 8.891321886922372e-08 3.024830189474081e-08
31.45 1.220284245414918e-07 4.150999544847182e-08
31.55 1.3701096640414712e-07 4.6604925310444793e-08
31.65 9.905340581295714e-08 3.3700421075479797e-08
31.75 5.9034758333549565e-08 2.0097324128992863e-08
31.85 6.498384491335475e-08 2.2118034629490916e-08
31.95 8.015661226874826e-08 2.726513316330288e-08
32.05 8.276082074357591e-08 3.2443304235569874e-08
32.15 4.386399007592221e-08 2.6537466576890282e-08
32.25 1.5570709879642085e-08 1.2298907538703505e-08
32.35 1.2185094524986172e-08 8.877833968907644e-09
32.45 1.2107999295272444e-08 1.0057907482226034e-08
32.55 1.36903719018988e-08 1.193118182536842e-08
32.65 1.591575767780699e-08 1.6189162568414554e-08
32.75 2.128549717083086e-08 2.1733966196729464e-08
32.85 1.763553532938084e-08 1.741944747252831e-08
32.95 1.4785541247084133e-08 1.2065196555418666e-08
33.05 1.018721572906999e-08 9.522892862366246e-09
33.15 1.8954663794315207e-08 1.2105630288244029e-08
33.25 2.6830248280174708e-08 2.1919591352038608e-08
33.35 5.939669982235722e-08 7.373897434313484e-08
33.45 1.6946865502960366e-07 2.6222756055263217e-07
33.55 2.059655110112925e-07 3.1463545604106733e-07
33.65 1.0804157219446715e-07 1.6000870237025284e-07
33.75 2.3865852568268296e-08 1.9269678808412063e-08
33.85 3.0745830496229754e-08 2.0383988063504497e-08
33.95 2.9860685990170326e-08 1.6998041521890907e-08
34.05 4.047888091996633e-08 1.7927857980615996e-08
34.15 6.657269144688122e-08 3.609941815445424e-08
34.25 6.397058959136643e-08 3.4836329958173044e-08
34.35 4.7348496276371446e-08 1.9372158351037453e-08
34.45 6.803264417008852e-08 2.317812363713262e-08
34.55 7.888338745239006e-08 2.8676799312695634e-08
34.65 1.1353978433219996e-07 4.587075114929618e-08
34.75 9.59380592422582e-08 6.583611393169513e-08
34.85 1.2290042537700375e-07 7.152010413810582e-08
34.95 9.248217240310632e-08 5.233848684160568e-08
35.05 7.310275884867497e-08 3.1503703939384126e-08
35.15 7.29950804124699e-08 3.6302747872134246e-08
35.25 6.920457146404341e-08 4.501881665804341e-08
35.35 7.824949699678616e-08 5.201235081534567e-08
35.45 4.9473260728988165e-08 4.3177931394398167e-08
35.55 5.533564602266928e-08 4.062930975009576e-08
35.65 4.4914723338181865e-08 3.514712400675417e-08
35.75 4.048744767981348e-08 2.3561123712779907e-08
35.85 3.992413567355634e-08 3.282288714363995e-08
35.95 8.019543374170185e-08 9.388481390528913e-08
36.05 1.569347506860182e-07 2.3106281744254222e-07
36.15 1.2177403231308723e-07 1.9179239151984992e-07
36.25 2.6044376503487146e-08 3.0690694020565465e-08
36.35 5.289191673688169e-08 5.005804968944515e-08
36.45 8.0256055515629e-08 7.031468189340736e-08
36.55 7.25382026152539e-08 5.73078481156034e-08
36.65 1.143198709597147e-07 3.890255622372589e-08
36.75 2.664333682940463e-07 9.050906028229795e-08
36.85 2.7725597750824476e-07 9.423264839818584e-08
36.95 1.9057313690869778e-07 6.47582286120759e-08
37.05 1.7959334184291846e-08 6.107939301061717e-09
37.15 7.411912967577864e-09 2.544016583749908e-09
37.25 1.1085832447865817e-08 3.7802465507318396e-09
37.35 1.8334381733693943e-08 6.230995274072036e-09
37.45 1.8442030565732902e-08 6.266653741567014e-09
37.55 2.334690738743799e-08 7.93301879958822e-09
37.65 1.7151022206919815e-08 5.828315095518833e-09
37.75 1.7323307605945855e-08 5.886388292326119e-09
37.85 1.1087962228454207e-08 3.7687275003252976e-09
37.95 1.001758529225332e-08 3.4055819474441363e-09
38.05 1.0299194894391768e-08 3.500399386339702e-09
38.15 7.433321888268297e-09 2.5264890290284276e-09
38.25 8.636707632982263e-09 2.938500099862796e-09
38.35 1.0311335433635736e-08 3.504434715311451e-09
38.45 1.1421977523877213e-08 4.01871444311287e-09
38.55 1.038875362744556e-08 3.689564730164907e-09
38.65 9.036001850777676e-09 3.0710474811636396e-09
38.75 8.464270379265579e-09 2.885206807139255e-09
38.85 8.502818145016453e-09 3.1163876694480666e-09
38.95 1.106177540932756e-08 7.468439729910299e-09
39.05 1.0014143722626383e-08 6.4203592097349514e-09
39.15 9.082024808443298e-09 3.0864618640617485e-09
39.25 8.696930231341841e-09 2.9559821463323852e-09
39.35 8.864379302764867e-09 3.35450864256078e-09
39.45 8.013592772162293e-09 2.723735168232887e-09
39.55 7.425048708865018e-09 2.5239293309863638e-09
39.65 7.054778787190153e-09 2.397776489630217e-09
39.75 6.223278043751928e-09 2.115747757050364e-09
39.85 9.546707505306166e-09 3.244448112335914e-09
39.95 1.291194920175153e-08 4.387416323190099e-09
40.5 1.9637923718734394e-08 4.105231544997095e-09
41.5 1.4368054670771054e-08 7.551035435051033e-09
42.5 1.3237488365584181e-08 2.9446936587978475e-09
43.5 2.8671023475989344e-08 4.972842477096033e-09
44.5 1.6734734832820262e-08 4.553078326552406e-09
45.5 1.8820118064582302e-08 3.360378584765873e-09
46.5 5.215564002399229e-08 7.62101210918273e-09
47.5 2.4230507519978897e-08 4.655825400691398e-09
48.5 3.7817197747565836e-08 8.038488084407158e-09
49.5 5.032128629739347e-08 1.8623734698535813e-08
50.5 5.6357617330205314e-08 1.6018963418185692e-08
51.5 2.217099339508066e-08 7.261317376915083e-09
52.5 2.523697049525086e-08 9.963581149471513e-09
53.5 2.67513583188755e-08 4.93277860186969e-09
54.5 1.712549326503326e-08 3.5194926246605278e-09
55.5 9.86867813333934e-08 1.3267402717045995e-08
56.5 2.3492148505126772e-08 3.8480877021732986e-09
57.5 2.028238476608677e-08 4.234049215744235e-09
58.5 1.7307282517732537e-07 3.2126520965894275e-08
59.5 3.0651663518355236e-08 5.500768688684741e-09
60.5 7.210021141795545e-08 1.87329686082294e-08
61.5 5.950090026111306e-08 1.6206046324564498e-08
62.5 1.6649232888843383e-07 2.729436105127642e-08
63.5 1.4703782740150458e-07 2.0232567303977434e-08
64.5 2.126046467456701e-08 3.819328175272777e-09
65.5 2.0838043045486554e-08 3.5618521646588514e-09
66.5 2.42934352835087e-08 4.320501493533771e-09
67.5 2.066256225210441e-08 4.1543557607502076e-09
68.5 4.800268252432539e-08 7.779251148559617e-09
69.5 3.6390188107573175e-08 8.038734206714106e-09
70.5 8.88760015167312e-08 1.6565511284950397e-08
71.5 3.599729876928388e-08 7.990732764240214e-09
72.5 3.518333239596356e-08 1.0140685618804764e-08
73.5 2.6049193931006268e-08 6.457868797386727e-09
74.5 3.997301997944691e-08 9.258147062391798e-09
75.5 5.800699203239359e-08 1.2818811992008716e-08
76.5 1.5976353150880313e-07 3.170397278803214e-08
77.5 1.4406753981463972e-07 2.8626378054881057e-08
78.5 2.2293630576782242e-07 4.073522774496663e-08
79.5 1.595574285228092e-07 2.9692076585062432e-08
80.5 1.2813793217159318e-07 2.5783609955268454e-08
81.5 1.4065741281449105e-07 2.8676348897367916e-08
82.5 1.7331471015824338e-07 3.670731229210819e-08
83.5 4.365363573866665e-07 8.531187343662704e-08
84.5 2.540596980351358e-07 5.6746796306480535e-08
85.5 3.104944170792398e-07 7.084971332230152e-08
86.5 3.6292796101177285e-07 8.17157158947319e-08
87.5 4.431272524728138e-07 9.711046950135431e-08
88.5 5.242538486210666e-07 1.0991736522647933e-07
89.5 6.105533656015526e-07 1.1902710153968717e-07
90.5 7.432158699302364e-07 1.3283250668830577e-07
91.5 6.340199990474418e-07 1.0776055482412336e-07
92.5 2.1363544966439817e-07 3.4169976595279654e-08
93.5 2.1827062021258643e-07 3.534585910257691e-08
